country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
Italy,0,0,0,0,0,0,0,30.0,Northeastern Italy,Alto Adige,Kerin O’Keefe,Sauvignon,2012.0,3
France,0,0,1,0,0,0,0,22.0,Loire Valley,Sancerre,Roger Voss,Rosé,2014.0,2
Italy,0,0,1,0,0,0,0,25.0,Tuscany,Chianti Classico,Roger Voss,Sangiovese,2009.0,1
US,0,0,1,1,0,0,0,50.0,California,Russian River Valley,Virginie Boone,Pinot Noir,2012.0,3
US,0,0,0,0,0,0,0,38.0,California,Russian River Valley,Virginie Boone,Chardonnay,2013.0,3
US,0,0,0,0,0,0,0,14.0,California,Dry Creek Valley,Roger Voss,Chardonnay,2012.0,1
US,0,1,0,0,0,0,0,25.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Gewürztraminer,2013.0,2
US,0,1,0,0,0,0,0,35.0,California,Paso Robles,Roger Voss,Barbera,2007.0,1
France,1,0,0,0,0,0,0,25.0,Bordeaux,Sauternes,Roger Voss,Bordeaux-style White Blend,2009.0,4
France,1,0,0,0,0,0,1,12.0,Bordeaux,Bordeaux Blanc,Roger Voss,Bordeaux-style White Blend,2014.0,2
US,0,0,0,0,0,1,1,14.0,California,Dry Creek Valley,Roger Voss,Sauvignon Blanc,2008.0,1
US,1,0,1,0,0,0,0,20.0,California,Paso Robles,Roger Voss,Rhône-style Red Blend,2012.0,2
US,0,0,1,0,0,0,0,45.0,Washington,Red Mountain,Sean P. Sullivan,Syrah,2014.0,3
US,0,0,0,0,0,1,0,32.0,California,Paso Robles,Roger Voss,Meritage,2009.0,2
South Africa,0,0,1,0,0,0,0,15.0,Western Cape,Napa Valley,Lauren Buzzeo,Pinotage,2013.0,1
Australia,0,0,0,0,0,0,0,25.0,Western Australia,Frankland River,Joe Czerwinski,Shiraz,2013.0,3
Australia,0,0,0,0,0,0,0,24.0,Western Australia,Western Australia,Joe Czerwinski,Cabernet Sauvignon,2007.0,2
Italy,0,1,0,0,0,0,1,14.0,Veneto,Prosecco,Roger Voss,Glera,2010.0,1
Australia,0,0,0,0,0,0,0,60.0,South Australia,McLaren Vale,Joe Czerwinski,Shiraz,2012.0,3
